data,ticker,comprado,close,ret
2026-09-10,ABEV3,1,15.74,0.01027
2026-09-10,ALOS3,1,29.07,0.019285
2026-09-10,AURA33,1,145.49,0.009506
2026-09-10,AXIA3,1,55.7,0.011256
2026-09-10,AZZA3,1,17.0,0.021635
2026-09-10,BBAS3,1,22.8,0.027953
2026-09-10,BBDC3,1,16.24,0.0259
2026-09-10,BBDC4,1,18.48,0.038786
2026-09-10,BBSE3,1,41.2,0.007089
2026-09-10,BEEF3,1,3.98,0.007595
2026-09-10,BOVA11,1,185.21,0.012796
2026-09-10,BPAC11,1,60.45,0.023535
2026-09-10,BRAP4,1,22.38,-0.008418
2026-09-10,BRAV3,0,18.81,0.021173
2026-09-10,BRSR6,1,15.2178,0.028647
2026-09-10,CEAB3,0,9.36,0.030837
2026-09-10,CMIN3,1,6.99,0.00431
2026-09-10,COGN3,1,2.38,0.00422
2026-09-10,CPLE3,1,16.14,0.010013
2026-09-10,CSAN3,1,3.85,0.015831
2026-09-10,CSMG3,0,56.68,0.02071
2026-09-10,CSNA3,1,7.19,0.011252
2026-09-10,CVCB3,1,1.6,-0.030303
2026-09-10,CXSE3,1,20.31,0.027314
2026-09-10,CYRE3,1,26.17,0.042214
2026-09-10,DIRR3,0,10.94,0.000915
2026-09-10,ECOR3,1,8.22,0.040506
2026-09-10,EGIE3,1,31.0,0.008786
2026-09-10,EMBJ3,1,95.82,0.005773
2026-09-10,ENEV3,1,27.68,0.012806
2026-09-10,ENGI11,1,51.81,0.026754
2026-09-10,EQTL3,1,40.1,0.033239
2026-09-10,EZTC3,1,13.14,0.027365
2026-09-10,FLRY3,1,20.96,0.029975
2026-09-10,GMAT3,1,4.83,0.021142
2026-09-10,GRND3,1,3.77,0.010724
2026-09-10,HAPV3,0,7.32,0.045714
2026-09-10,HYPE3,1,22.84,0.011067
2026-09-10,IGTI11,1,26.53,0.02117
2026-09-10,IRBR3,1,60.41,-0.00886
2026-09-10,ITSA4,1,14.17,0.018692
2026-09-10,ITUB3,1,46.38,0.016882
2026-09-10,ITUB4,1,42.35,0.018274
2026-09-10,JHSF3,1,11.98,0.032759
2026-09-10,KLBN11,1,19.57,0.002048
2026-09-10,MBRF3,1,16.94,-0.01282
2026-09-10,MGLU3,1,5.94,0.066427
2026-09-10,MOVI3,0,8.1,0.047866
2026-09-10,MRVE3,1,5.72,0.014184
2026-09-10,MULT3,1,30.39,0.017409
2026-09-10,ORVR3,0,17.63,0.007429
2026-09-10,PETR4,1,49.12,0.014457
2026-09-10,POMO4,0,4.58,0.026906
2026-09-10,PSSA3,0,51.3,0.009843
2026-09-10,QUAL3,0,1.49,0.013605
2026-09-10,RAIL3,1,14.95,0.031034
2026-09-10,RAIZ4,0,0.28,0.076923
2026-09-10,RAPT4,1,5.12,0.047035
2026-09-10,RDOR3,1,38.06,0.030598
2026-09-10,RECV3,1,11.71,0.025394
2026-09-10,RENT3,0,36.81,0.030515
2026-09-10,ROXO34,1,12.7,-0.003922
2026-09-10,SBSP3,0,27.29,0.022097
2026-09-10,SIMH3,1,7.89,0.031373
2026-09-10,SLCE3,1,18.43,0.030761
2026-09-10,SMAL11,1,112.3,0.019056
2026-09-10,SMFT3,0,17.79,0.007932
2026-09-10,SUZB3,1,48.1,0.01842
2026-09-10,TAEE11,1,41.29,0.010277
2026-09-10,TIMS3,0,19.54,0.007736
2026-09-10,TOTS3,1,33.0,-0.005125
2026-09-10,USIM5,0,7.65,0.002621
2026-09-10,VALE3,1,78.23,-0.010999
2026-09-10,VAMO3,1,3.44,0.020772
2026-09-10,VBBR3,1,38.25,0.007905
2026-09-10,VIVA3,1,22.75,0.016533
2026-09-10,VIVT3,0,30.46,0.008609
2026-09-10,WEGE3,1,52.17,0.009286
2026-09-10,WIZC3,0,8.06,0.018963
2026-09-10,XPBR31,1,100.98,0.035268
2026-09-10,YDUQ3,1,10.09,-0.010784
2026-09-11,ABEV3,1,15.62,-0.007624
2026-09-11,ALOS3,1,28.63,-0.015136
2026-09-11,AURA33,1,146.76,0.008729
2026-09-11,AXIA3,1,54.8,-0.016158
2026-09-11,AZZA3,1,16.43,-0.033529
2026-09-11,BBAS3,1,22.49,-0.013596
2026-09-11,BBDC3,1,16.32,0.004926
2026-09-11,BBDC4,1,18.59,0.005952
2026-09-11,BBSE3,1,39.5,-0.041262
2026-09-11,BEEF3,1,4.13,0.037688
2026-09-11,BOVA11,1,183.85,-0.007343
2026-09-11,BPAC11,1,60.82,0.006121
2026-09-11,BRAP4,1,22.54,0.007149
2026-09-11,BRAV3,0,18.29,-0.027645
2026-09-11,BRSR6,1,15.0699,-0.009715
2026-09-11,CEAB3,0,9.35,-0.001068
2026-09-11,CMIN3,1,6.72,-0.038627
2026-09-11,COGN3,1,2.33,-0.021008
2026-09-11,CPLE3,1,15.96,-0.011152
2026-09-11,CSAN3,1,3.7,-0.038961
2026-09-11,CSMG3,0,55.95,-0.012879
2026-09-11,CSNA3,1,6.66,-0.073714
2026-09-11,CVCB3,1,1.61,0.00625
2026-09-11,CXSE3,1,19.82,-0.024126
2026-09-11,CYRE3,1,25.97,-0.007642
2026-09-11,DIRR3,0,10.47,-0.042962
2026-09-11,ECOR3,1,8.14,-0.009732
2026-09-11,EGIE3,1,30.75,-0.008065
2026-09-11,EMBJ3,1,96.94,0.011689
